Product,Price,Items_left,Image_url,id
Goodtel Tablet Android 13 10.1'' 64GB（1TB Expandable) Black 10GB RAM OctaCore 2.0Ghz 2.4G+5G WIFI With Case Keyboard,76.34,47  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/5605692/1.jpg?9240,118
Skyrun 70 Litres Double Door Top Mount Fridge (BCD-85HC) - Silver.,105.82,50  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/4108073/1.jpg?8797,119
Nine Ultrasonic Humidifier,14.53,50  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/1251852/1.jpg?6914,120
Maybelline Fit Me Powder 330 Toffee,5.52,10  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/7608162/1.jpg?0156,121
Dinner Gown For Ladies Women Office Skirt Casual Turkey Wears Dress,6.35,106  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/268383/1.jpg?9312,122
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml,4.95,50  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/8891651/1.jpg?2188,123
Men's Sports Shoes Breathable Running Shoes,2.7,173  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/1226372/1.jpg?8440,124
Skyrun 4 Burners（4+0) Gas Cooker - (GCS-4G/X) - Black,80.29,500  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/8695353/1.jpg?0023,125
Skyrun 182L Double Door Top Mount Fridge (BCD-187A) - Inox.,160.59,35  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/8695353/1.jpg?9304,126
"Samsung Galaxy A25 5G 6.5"" 8GB RAM/256GB ROM Android 14 - Light Blue",257.47,3  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/5692343/1.jpg?8889,127
Air Pressure Corkscrew Wine Bottle Opener,4.49,49  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/9594833/1.jpg?7402,128
D'USSE VSOP Cognac 75cl,39.72,14  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/681138/1.jpg?1543,129
"Royal 55"" inches Google Smart TV (RTV55GT8 W) - Black",271.09,1  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/2736833/1.jpg?0900,130
"Tecno POVA 6 Neo 6.78"" 8GB RAM/256GB ROM Android 14 - Black",157.94,32  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/2920763/1.jpg?5868,131
Grey Goose Premium French Vodka 100cl,19.52,50  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/681138/1.jpg?1479,132
"XIAOMI Redmi Pad SE 8.7"" 4GB RAM / 128GB ROM Android 13 - Grey",105.96,1  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/8440473/1.jpg?6137,133
Skyrun 200 Litres Chest Freezer (BD-200A) - Grey,179.41,38  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/497444/1.jpg?6413,134
Skyrun 100L Chest Freezer (BD-90A) - Grey,117.59,47  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/7695353/1.jpg?7158,135
Black XL One-piece Body Shaping And Belly Slimming Clothes For Women,3.52,49  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/9622013/1.jpg?4189,136
"Tutu 43"" Inches Smart LED TV (43Q1) - Black +1 Year Warranty",122.99,1  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/9533292/1.jpg?0842,137
Skyrun 138 Litres Double Door Top Mount Fridge (BCD-138HC) - Silver,152.68,39  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/1980042/1.jpg?4231,138
Mi+ 32 inches LED Tv (MI32DF1A) - Black + 1 Year Warranty,55.0,500  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/3414773/1.jpg?2473,139
"Samsung Galaxy A04e 6.5"" 3GB RAM/64GB ROM Android 12 - Copper",76.88,1  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/6713353/1.jpg?3957,140
"ECOFLOW DELTA 2 Max Portable Power Station, Expandable 2-6kWh, LFP Battery 3000 Cycles, AC+Solar 80% Charge In",970.33,45  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/4023482/1.jpg?0012,141
"ECOFLOW 110W Solar Panel, Foldable With Adjustable Kickstand",118.82,50  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/9349082/1.jpg?3081,142
Stainless Steel Red Wine Cooling Popsicle Maker,4.72,50  ,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/0349233/1.jpg?1725,143
